NACA 3318 Airfoil M=3.0% P=30.0% T=18.0%
  1.000000 -0.000000
  0.998487  0.000466
  0.993957  0.001857
  0.986435  0.004147
  0.975961  0.007295
  0.962594  0.011245
  0.946408  0.015930
  0.927492  0.021270
  0.905956  0.027180
  0.881921  0.033565
  0.855525  0.040330
  0.826924  0.047376
  0.796284  0.054600
  0.763787  0.061903
  0.729628  0.069184
  0.694012  0.076342
  0.657155  0.083277
  0.619284  0.089891
  0.580630  0.096083
  0.541434  0.101758
  0.501941  0.106820
  0.462400  0.111177
  0.423060  0.114745
  0.384173  0.117444
  0.345989  0.119207
  0.308754  0.119978
  0.271390  0.119504
  0.235135  0.117307
  0.200699  0.113460
  0.168352  0.108089
  0.138338  0.101350
  0.110877  0.093422
  0.086160  0.084499
  0.064347  0.074784
  0.045565  0.064483
  0.029912  0.053793
  0.017455  0.042896
  0.008234  0.031953
  0.002262  0.021096
 -0.000472  0.010424
  0.000000  0.000000
  0.003554 -0.009809
  0.010050 -0.018659
  0.019396 -0.026554
  0.031489 -0.033506
  0.046209 -0.039534
  0.063429 -0.044664
  0.083013 -0.048931
  0.104823 -0.052381
  0.128717 -0.055071
  0.154555 -0.057070
  0.182200 -0.058460
  0.211516 -0.059337
  0.242367 -0.059808
  0.274620 -0.059990
  0.308563 -0.059987
  0.344994 -0.059460
  0.382381 -0.058293
  0.420505 -0.056561
  0.459141 -0.054342
  0.498059 -0.051717
  0.537025 -0.048766
  0.575805 -0.045561
  0.614162 -0.042174
  0.651862 -0.038666
  0.688672 -0.035095
  0.724363 -0.031510
  0.758712 -0.027954
  0.791502 -0.024469
  0.822524 -0.021090
  0.851582 -0.017851
  0.878485 -0.014786
  0.903061 -0.011926
  0.925148 -0.009304
  0.944599 -0.006951
  0.961286 -0.004898
  0.975095 -0.003173
  0.985935 -0.001802
  0.993731 -0.000807
  0.998430 -0.000203
  1.000000  0.000000
